sep=,
province_id,neighbor_id
1,2
1,5
1,71
13,56
13,9
13,HP
18,21
18,66
18,68
18,HN
2,1
2,5
2,68
2,7
21,18
21,22
21,5
21,68
22,21
22,23
23,22
23,25
25,23
25,26
26,25
26,DN
29,30
29,DN
30,29
30,33
33,30
33,34
33,35
34,33
34,35
35,33
35,34
35,39
35,SG
37,39
37,45
37,SG
39,35
39,37
39,SG
4,69
4,7
4,9
44,45
44,59
44,CT
45,37
45,44
45,49
45,CT
45,SG
49,45
49,CT
5,1
5,2
5,21
5,68
5,71
56,13
56,66
56,69
56,9
56,HN
56,HP
59,44
59,CT
66,18
66,56
66,HN
66,HP
68,18
68,2
68,21
68,5
68,69
68,7
68,HN
69,4
69,56
69,68
69,7
69,9
69,HN
7,2
7,4
7,68
7,69
71,1
71,5
9,13
9,4
9,56
9,69
CT,44
CT,45
CT,49
CT,59
DN,26
DN,29
HN,18
HN,56
HN,66
HN,68
HN,69
HP,13
HP,56
HP,66
SG,35
SG,37
SG,39
SG,45
